customer_id,account_name,csm_owner,health_score,health_trend,mrr_usd,renewal_date,churn_date,status,last_qbr_date,open_tickets,nps_score,sf_account_id,canonical_name,status_corrected,mrr_imputed,mrr_source,days_to_renewal,renewal_proximity_score,nps_bonus,health_trend_score,no_qbr_signal,support_pressure,canonical_segment,segment_confidence,join_confidence,company_mrr_total,contract_count_active
CUST-0400,Acme,rafael@raptorsoft.com,,Stable,9060.51,2025-03-31,,Active,2024-12-17,10,,ACC-1100,acme,,False,actual,-15,1.0,0.0,0.3,False,0.8333333333333334,Mid-Market,HIGH,HIGH,194509.94,23
CUST-0401,BETA SOLUTIONS,carla@raptorsoft.com,80.0,,0.0,2025-01-13,2024-12-19,Churned,2023-11-26,3,7.0,,betasolutions,,False,actual,-92,1.0,0.0,0.5,True,0.25,Mid-Market,HIGH,MEDIUM,133712.45,22
CUST-0402,Nexus Group,lucas@raptorsoft.com,70.0,Stable,8319.83,2025-12-01,,Active,2023-11-14,5,1.0,,nexus,,True,global_median_proxy,230,0.0,0.1,0.3,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,200687.78,24
CUST-0403,Vertice,lucas@raptorsoft.com,58.0,Improving,10321.94,2026-05-31,,Active,2024-05-31,4,10.0,,vertice,,False,actual,411,0.0,-0.08,0.0,True,0.3333333333333333,Mid-Market,HIGH,MEDIUM,197690.09,23
CUST-0404,orbit digital,patricia@raptorsoft.com,48.0,Stable,12765.65,2025-12-21,,Active,2024-01-12,4,10.0,ACC-1104,orbit,,False,actual,250,0.0,-0.08,0.3,True,0.3333333333333333,Mid-Market,HIGH,HIGH,227071.01,26
CUST-0405,Fluxo Sistemas Ltda,,15.0,Declining,12378.29,2024-02-03,,Active,,1,9.0,,fluxo,,False,actual,-437,1.0,-0.08,1.0,True,0.08333333333333333,Mid-Market,HIGH,MEDIUM,217571.91,27
CUST-0406,Data Prime,rafael@raptorsoft.com,10.0,Declining,0.0,2025-07-12,2024-02-29,Churned,,10,8.0,ACC-1106,dataprime,,False,actual,88,0.3,0.0,1.0,True,0.8333333333333334,Mid-Market,HIGH,HIGH,213142.01,25
CUST-0407,ConnectWave,carla@raptorsoft.com,92.0,,9057.02,2025-03-02,,Active,,4,10.0,,connectwave,,False,actual,-44,1.0,-0.08,0.5,True,0.3333333333333333,Mid-Market,HIGH,MEDIUM,238725.88,28
CUST-0408,SkyOps,carla@raptorsoft.com,85.0,Declining,8319.83,2025-03-17,,Active,2023-11-08,9,9.0,ACC-1108,skyops,,True,global_median_proxy,-29,1.0,-0.08,1.0,True,0.75,Mid-Market,HIGH,HIGH,214724.43,25
CUST-0409,POLARE,lucas@raptorsoft.com,,Stable,2888.95,2026-01-05,2024-03-17,Churned,2024-08-11,6,,,polare,True,False,actual,265,0.0,0.0,0.3,True,0.5,Mid-Market,HIGH,MEDIUM,218077.81,27
CUST-0410,rushflow,carla@raptorsoft.com,,,9976.75,2026-05-26,,Active,2024-07-28,7,,ACC-1110,rushflow,,False,actual,406,0.0,0.0,0.5,True,0.5833333333333334,Mid-Market,HIGH,HIGH,183982.75,23
CUST-0411,MINDBOX,rafael@raptorsoft.com,79.0,Improving,10026.26,2025-06-23,,Active,2023-06-24,8,,ACC-1111,mindbox,,False,actual,69,0.3,0.0,0.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,217717.35,26
CUST-0412,zentra,lucas@raptorsoft.com,72.0,Stable,12255.97,2025-09-05,,Active,2024-06-14,5,,ACC-1112,zentra,,False,actual,143,0.0,0.0,0.3,True,0.4166666666666667,Mid-Market,HIGH,HIGH,236895.41,27
CUST-0413,AMPLIA SOLUCOES,rafael@raptorsoft.com,64.0,,10947.84,2025-11-28,,Active,,0,2.0,ACC-1113,amplia,,False,actual,227,0.0,0.1,0.5,True,0.0,Mid-Market,HIGH,HIGH,211018.85,25
CUST-0414,corelogic,lucas@raptorsoft.com,60.0,Declining,0.0,2025-07-24,2023-06-20,Churned,2024-08-23,5,,ACC-1114,corelogic,,False,actual,100,0.0,0.0,1.0,True,0.4166666666666667,Mid-Market,HIGH,HIGH,206729.08,24
CUST-0415,tapflow,lucas@raptorsoft.com,59.0,,12197.14,2025-01-20,,Active,,2,7.0,ACC-1115,tapflow,,False,actual,-85,1.0,0.0,0.5,True,0.16666666666666666,Mid-Market,HIGH,HIGH,213765.26,25
CUST-0416,Innova Tech,rafael@raptorsoft.com,50.0,Stable,6105.08,2025-09-28,2023-08-26,Churned,2023-10-02,0,,ACC-1116,innova,True,False,actual,166,0.0,0.0,0.3,True,0.0,Mid-Market,HIGH,HIGH,198837.46,20
CUST-0417,Grid Soft,lucas@raptorsoft.com,66.0,Declining,0.0,2026-04-22,2024-03-20,Churned,2023-11-14,0,,,gridsoft,,False,actual,372,0.0,0.0,1.0,True,0.0,Mid-Market,HIGH,MEDIUM,188772.05,23
CUST-0418,Polaris Tech,rafael@raptorsoft.com,40.0,Declining,0.0,2025-04-14,2024-08-13,Churned,2024-10-03,7,2.0,ACC-1118,polaris,,False,actual,-1,1.0,0.1,1.0,True,0.5833333333333334,Mid-Market,HIGH,HIGH,176653.15,23
CUST-0419,bluepath,lucas@raptorsoft.com,45.0,Improving,1582.26,2025-05-24,,Active,,7,9.0,,bluepath,,False,actual,39,0.6,-0.08,0.0,True,0.5833333333333334,Mid-Market,HIGH,MEDIUM,189029.98,25
CUST-0420,Acme Corp.,rafael@raptorsoft.com,75.0,,9800.48,2025-04-09,,Active,2024-08-26,10,,ACC-1100,acme,,False,actual,-6,1.0,0.0,0.5,True,0.8333333333333334,Mid-Market,HIGH,HIGH,194509.94,23
CUST-0421,Beta Solutions Ltda,lucas@raptorsoft.com,,Improving,0.0,2026-05-31,2023-10-03,Churned,,7,4.0,,betasolutions,,False,actual,411,0.0,0.1,0.0,True,0.5833333333333334,Mid-Market,HIGH,MEDIUM,133712.45,22
CUST-0422,nexus,rafael@raptorsoft.com,75.0,,8319.83,2025-08-12,,Active,,9,,ACC-1102,nexus,,True,global_median_proxy,119,0.0,0.0,0.5,True,0.75,Mid-Market,HIGH,HIGH,200687.78,24
CUST-0423,VERTICE TECH,,59.0,Stable,1111.55,2025-11-01,,Active,2024-07-16,12,,ACC-1103,vertice,,False,actual,200,0.0,0.0,0.3,True,1.0,Mid-Market,HIGH,HIGH,197690.09,23
CUST-0424,Orbit,carla@raptorsoft.com,75.0,Stable,10440.53,2025-07-31,,Active,2023-09-21,8,10.0,,orbit,,False,actual,107,0.0,-0.08,0.3,True,0.6666666666666666,Mid-Market,HIGH,MEDIUM,227071.01,26
CUST-0425,Fluxo,,82.0,Declining,8387.51,2026-02-27,,Active,2024-03-03,8,,,fluxo,,False,actual,318,0.0,0.0,1.0,True,0.6666666666666666,Mid-Market,HIGH,MEDIUM,217571.91,27
CUST-0426,DataPrime,patricia@raptorsoft.com,18.0,,10456.79,2025-12-04,,Active,,9,,,dataprime,,False,actual,233,0.0,0.0,0.5,True,0.75,Mid-Market,HIGH,MEDIUM,213142.01,25
CUST-0427,CONNECTWAVE,lucas@raptorsoft.com,27.0,Improving,10429.36,2025-10-21,,Active,,8,10.0,,connectwave,,False,actual,189,0.0,-0.08,0.0,True,0.6666666666666666,Mid-Market,HIGH,MEDIUM,238725.88,28
CUST-0428,SkyOps,carla@raptorsoft.com,86.0,Improving,12559.25,2025-05-03,,Active,2024-11-04,12,5.0,ACC-1108,skyops,,False,actual,18,1.0,0.1,0.0,False,1.0,Mid-Market,HIGH,HIGH,214724.43,25
CUST-0429,POLARE,patricia@raptorsoft.com,16.0,Declining,0.0,2026-05-16,2023-09-27,Churned,,8,9.0,ACC-1109,polare,,False,actual,396,0.0,-0.08,1.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,218077.81,27
CUST-0430,RushFlow,lucas@raptorsoft.com,77.0,Declining,3313.76,2026-05-20,,Active,2024-01-03,7,,ACC-1110,rushflow,,False,actual,400,0.0,0.0,1.0,True,0.5833333333333334,Mid-Market,HIGH,HIGH,183982.75,23
CUST-0431,MINDBOX,patricia@raptorsoft.com,63.0,,10562.72,2026-03-30,,Active,2024-08-01,12,4.0,ACC-1111,mindbox,,False,actual,349,0.0,0.1,0.5,True,1.0,Mid-Market,HIGH,HIGH,217717.35,26
CUST-0432,Zentra Tech,patricia@raptorsoft.com,,Stable,3782.2,2026-04-12,,Active,2023-10-01,1,7.0,,zentra,,False,actual,362,0.0,0.0,0.3,True,0.08333333333333333,Mid-Market,HIGH,MEDIUM,236895.41,27
CUST-0433,Amplia Soluções,lucas@raptorsoft.com,75.0,Improving,0.0,2025-10-24,2023-09-29,Churned,,1,,ACC-1113,amplia,,False,actual,192,0.0,0.0,0.0,True,0.08333333333333333,Mid-Market,HIGH,HIGH,211018.85,25
CUST-0434,CORELOGIC,lucas@raptorsoft.com,31.0,Declining,0.0,2025-08-20,2024-08-27,Churned,2023-07-21,2,5.0,ACC-1114,corelogic,,False,actual,127,0.0,0.1,1.0,True,0.16666666666666666,Mid-Market,HIGH,HIGH,206729.08,24
CUST-0435,TapFlow,carla@raptorsoft.com,,Improving,3854.61,2025-06-10,,Active,2024-09-22,4,,ACC-1115,tapflow,,False,actual,56,0.6,0.0,0.0,True,0.3333333333333333,Mid-Market,HIGH,HIGH,213765.26,25
CUST-0436,INNOVA,lucas@raptorsoft.com,62.0,,0.0,2025-06-30,2023-12-25,Churned,2024-10-13,3,,ACC-1116,innova,,False,actual,76,0.3,0.0,0.5,True,0.25,Mid-Market,HIGH,HIGH,198837.46,20
CUST-0437,gridsoft,carla@raptorsoft.com,64.0,,7731.16,2025-09-14,,Active,2023-12-23,12,7.0,ACC-1117,gridsoft,,False,actual,152,0.0,0.0,0.5,True,1.0,Mid-Market,HIGH,HIGH,188772.05,23
