customer_id,account_name,csm_owner,health_score,health_trend,mrr_usd,renewal_date,churn_date,status,last_qbr_date,open_tickets,nps_score,sf_account_id,canonical_name,status_corrected,mrr_imputed,mrr_source,days_to_renewal,renewal_proximity_score,nps_bonus,health_trend_score,no_qbr_signal,support_pressure,canonical_segment,segment_confidence,join_confidence,company_mrr_total,contract_count_active,w1_raw,w1_valid,w2_raw,w2_valid,w4_raw,w4_valid,w5_raw,w5_valid,contract_risk_base,contract_risk,company_engagement_modifier,engagement_score,avg_feature_depth,avg_sessions,churn_risk_score,risk_level,threshold_alto,threshold_medio
CUST-0400,Acme,rafael@raptorsoft.com,,Stable,9060.51,2025-03-31,,Active,2024-12-17,10,,ACC-1100,acme,,False,actual,-15,1.0,0.0,0.3,False,0.8333333333333334,Mid-Market,HIGH,HIGH,194509.94,23,,False,0.3,True,0.8333333333333334,True,1.0,True,0.6805555555555556,0.6805555555555556,0.8716,0.7549,0.5097,160.5,0.5932,Alto,0.5261,0.35
CUST-0401,BETA SOLUTIONS,carla@raptorsoft.com,80.0,,0.0,2025-01-13,2024-12-19,Churned,2023-11-26,3,7.0,,betasolutions,,False,actual,-92,1.0,0.0,0.5,True,0.25,Mid-Market,HIGH,MEDIUM,133712.45,22,0.2,True,0.5,True,0.25,True,1.0,True,0.48000000000000004,0.56,1.0046,0.5649,0.5297,146.25,0.5626,Alto,0.5261,0.35
CUST-0402,Nexus Group,lucas@raptorsoft.com,70.0,Stable,8319.83,2025-12-01,,Active,2023-11-14,5,1.0,,nexus,,True,global_median_proxy,230,0.0,0.1,0.3,True,0.4166666666666667,Mid-Market,HIGH,MEDIUM,200687.78,24,0.3,True,0.3,True,0.4166666666666667,True,0.0,True,0.23666666666666666,0.4166666666666667,0.8438,0.7945,0.685,84.0,0.3516,Medio,0.5261,0.35
CUST-0403,Vertice,lucas@raptorsoft.com,58.0,Improving,10321.94,2026-05-31,,Active,2024-05-31,4,10.0,,vertice,,False,actual,411,0.0,-0.08,0.0,True,0.3333333333333333,Mid-Market,HIGH,MEDIUM,197690.09,23,0.42,True,0.0,True,0.3333333333333333,True,0.0,True,0.20133333333333334,0.20133333333333334,1.0856,0.4491,0.2982,137.75,0.2186,Baixo,0.5261,0.35
CUST-0404,orbit digital,patricia@raptorsoft.com,48.0,Stable,12765.65,2025-12-21,,Active,2024-01-12,4,10.0,ACC-1104,orbit,,False,actual,250,0.0,-0.08,0.3,True,0.3333333333333333,Mid-Market,HIGH,HIGH,227071.01,26,0.52,True,0.3,True,0.3333333333333333,True,0.0,True,0.31633333333333336,0.31633333333333336,0.7836,0.8805,0.761,235.5,0.2479,Baixo,0.5261,0.35
CUST-0405,Fluxo Sistemas Ltda,,15.0,Declining,12378.29,2024-02-03,,Active,,1,9.0,,fluxo,,False,actual,-437,1.0,-0.08,1.0,True,0.0833333333333333,Mid-Market,HIGH,MEDIUM,217571.91,27,0.85,True,1.0,True,0.0833333333333333,True,1.0,True,0.8483333333333334,0.8483333333333334,0.8578,0.7746,0.5492,158.75,0.7277,Alto,0.5261,0.35
CUST-0406,Data Prime,rafael@raptorsoft.com,10.0,Declining,0.0,2025-07-12,2024-02-29,Churned,,10,8.0,ACC-1106,dataprime,,False,actual,88,0.3,0.0,1.0,True,0.8333333333333334,Mid-Market,HIGH,HIGH,213142.01,25,0.9,True,1.0,True,0.8333333333333334,True,0.3,True,0.7683333333333334,0.8483333333333334,0.7596,0.9149,0.8298,174.0,0.6444,Alto,0.5261,0.35
CUST-0407,ConnectWave,carla@raptorsoft.com,92.0,,9057.02,2025-03-02,,Active,,4,10.0,,connectwave,,False,actual,-44,1.0,-0.08,0.5,True,0.3333333333333333,Mid-Market,HIGH,MEDIUM,238725.88,28,0.08,True,0.5,True,0.3333333333333333,True,1.0,True,0.44033333333333335,0.44033333333333335,0.9774,0.6038,0.6075,206.0,0.4304,Medio,0.5261,0.35
CUST-0408,SkyOps,carla@raptorsoft.com,85.0,Declining,8319.83,2025-03-17,,Active,2023-11-08,9,9.0,ACC-1108,skyops,,True,global_median_proxy,-29,1.0,-0.08,1.0,True,0.75,Mid-Market,HIGH,HIGH,214724.43,25,0.15,True,1.0,True,0.75,True,1.0,True,0.635,0.635,0.9277,0.6748,0.3495,111.0,0.5891,Alto,0.5261,0.35
CUST-0409,POLARE,lucas@raptorsoft.com,,Stable,2888.95,2026-01-05,2024-03-17,Churned,2024-08-11,6,,,polare,True,False,actual,265,0.0,0.0,0.3,True,0.5,Mid-Market,HIGH,MEDIUM,218077.81,27,,False,0.3,True,0.5,True,0.0,True,0.20833333333333334,0.28833333333333333,0.8274,0.818,0.636,171.5,0.2386,Baixo,0.5261,0.35
CUST-0410,rushflow,carla@raptorsoft.com,,,9976.75,2026-05-26,,Active,2024-07-28,7,,ACC-1110,rushflow,,False,actual,406,0.0,0.0,0.5,True,0.5833333333333334,Mid-Market,HIGH,HIGH,183982.75,23,,False,0.5,True,0.5833333333333334,True,0.0,True,0.3055555555555556,0.3855555555555556,0.8888,0.7303,0.4605,255.75,0.3427,Baixo,0.5261,0.35
CUST-0411,MINDBOX,rafael@raptorsoft.com,79.0,Improving,10026.26,2025-06-23,,Active,2023-06-24,8,,ACC-1111,mindbox,,False,actual,69,0.3,0.0,0.0,True,0.6666666666666666,Mid-Market,HIGH,HIGH,217717.35,26,0.21,True,0.0,True,0.6666666666666666,True,0.3,True,0.22566666666666668,0.3056666666666667,0.9739,0.6088,0.6865,88.5,0.2977,Baixo,0.5261,0.35
CUST-0412,zentra,lucas@raptorsoft.com,72.0,Stable,12255.97,2025-09-05,,Active,2024-06-14,5,,ACC-1112,zentra,,False,actual,143,0.0,0.0,0.3,True,0.4166666666666667,Mid-Market,HIGH,HIGH,236895.41,27,0.28,True,0.3,True,0.4166666666666667,True,0.0,True,0.22866666666666668,0.3086666666666667,0.8558,0.7774,0.5548,162.25,0.2642,Baixo,0.5261,0.35
CUST-0413,AMPLIA SOLUCOES,rafael@raptorsoft.com,64.0,,10947.84,2025-11-28,,Active,,0,2.0,ACC-1113,amplia,,False,actual,227,0.0,0.1,0.5,True,0.0,Mid-Market,HIGH,HIGH,211018.85,25,0.36,True,0.5,True,0.0,True,0.0,True,0.269,0.449,0.8494,0.7866,0.5732,208.0,0.3814,Medio,0.5261,0.35
CUST-0414,corelogic,lucas@raptorsoft.com,60.0,Declining,0.0,2025-07-24,2023-06-20,Churned,2024-08-23,5,,ACC-1114,corelogic,,False,actual,100,0.0,0.0,1.0,True,0.4166666666666667,Mid-Market,HIGH,HIGH,206729.08,24,0.4,True,1.0,True,0.4166666666666667,True,0.0,True,0.4516666666666667,0.5316666666666667,1.0385,0.5165,0.433,167.25,0.5521,Alto,0.5261,0.35
