opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id,stage_canonical,forecast_category_canonical,canonical_name,implied_days,data_quality,days_recalculated,is_stale_opportunity,is_open,slippage_days,is_slippage,is_negative_amount,is_closed_won,is_closed_lost,close_quarter,created_quarter,segment_original,canonical_segment,segment_confidence,segment_source,sales_cycle_days
OPP-2024000,Zentra Tech,ACC-1112,SMB,Qualification,30776.49,2023-04-06,,Best Case,2024-04-07,26.0,HS-90459,Discovery/Qualification,best_case,zentra,-367.0,,,False,True,740,True,False,False,False,2023Q2,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024001,innova,,SMB,Closed Won,14725.5,2024-06-22,joao@raptorsoft.com,Commit,2023-12-11,69.0,HS-90300,Closed Won,commit,innova,194.0,,,False,False,0,False,False,True,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,194.0
OPP-2024002,ZENTRA,ACC-1112,Enterprise,closed-won,131916.79,2024-03-04,carlos@raptorsoft.com,Omit,2024-01-13,46.0,HS-90699,Closed Won,omit,zentra,51.0,,,False,False,0,False,False,True,False,2024Q1,2024Q1,Enterprise,Mid-Market,HIGH,employees_median,51.0
OPP-2024003,zentra,ACC-1112,SMB,Qualification,14448.17,2024-08-20,joao@raptorsoft.com,Pipeline,2024-03-07,52.0,HS-90580,Discovery/Qualification,pipeline,zentra,166.0,,,False,True,238,True,False,False,False,2024Q3,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024004,dataprime,ACC-1106,Mid-Market,Closed Won,59595.3,2025-01-05,ana.lima@raptorsoft.com,Omit,2024-08-09,12.0,HS-90163,Closed Won,omit,dataprime,149.0,,,False,False,0,False,False,True,False,2025Q1,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,149.0
OPP-2024005,Sky Ops,ACC-1108,SMB,Negotiation,-23519.0,2023-10-01,ana.lima@raptorsoft.com,omit,2024-07-25,93.0,,Negotiation,omit,skyops,-298.0,,,False,True,562,True,True,False,False,2023Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024006,Polaris,ACC-1118,Enterprise,Closed Lost,405004.32,2025-01-27,joao@raptorsoft.com,Commit,2024-05-01,113.0,HS-90246,Closed Lost,commit,polaris,271.0,,,False,False,0,False,False,False,True,2025Q1,2024Q2,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024007,polaris,ACC-1118,SMB,Closed_Lost,23644.72,2024-11-30,pedro@raptorsoft.com,Omit,2024-11-09,89.0,HS-90687,Closed Lost,omit,polaris,21.0,,,False,False,0,False,False,False,True,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024008,SKYOPS,ACC-1108,Mid-Market,Qualification,100597.05,2023-12-07,joao@raptorsoft.com,Pipeline,2023-11-01,10.0,HS-90219,Discovery/Qualification,pipeline,skyops,36.0,,,False,True,495,True,False,False,False,2023Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024009,Core Logic,ACC-1114,Enterprise,Qualification,138772.33,2024-12-20,joao@raptorsoft.com,Pipeline,2024-10-27,94.0,HS-90194,Discovery/Qualification,pipeline,corelogic,54.0,,,False,True,116,True,False,False,False,2024Q4,2024Q4,Enterprise,Mid-Market,HIGH,employees_median,
OPP-2024010,GRUPO NEXUS,ACC-1102,SMB,Qualification,7638.47,2025-01-07,ana.lima@raptorsoft.com,Pipeline,2024-10-16,63.0,,Discovery/Qualification,pipeline,nexus,83.0,,,False,True,98,True,False,False,False,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024011,Blue Path,,SMB,Discovery,38506.12,2024-10-27,pedro@raptorsoft.com,Best Case,2024-10-08,8.0,HS-90488,Discovery/Qualification,best_case,bluepath,19.0,,,False,True,170,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024012,GridSoft,ACC-1117,SMB,Closed Lost,25826.23,2024-12-19,mariana@raptorsoft.com,Pipeline,2023-09-21,73.0,,Closed Lost,pipeline,gridsoft,455.0,,,False,False,0,False,False,False,True,2024Q4,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024013,Fluxo,ACC-1105,SMB,Proposal,31315.26,2023-08-07,joao@raptorsoft.com,commit,2024-05-03,48.0,,Proposal,commit,fluxo,-270.0,,,False,True,617,True,False,False,False,2023Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024014,BluePath,ACC-1119,Mid-Market,Closed Won,109606.65,2023-11-04,pedro@raptorsoft.com,Best Case,2023-07-09,44.0,HS-90257,Closed Won,best_case,bluepath,118.0,,,False,False,0,False,False,True,False,2023Q4,2023Q3,Mid-Market,Mid-Market,HIGH,employees_median,118.0
OPP-2024015,Innova Tech,ACC-1116,SMB,Closed Lost,5124.1,2024-12-28,joao@raptorsoft.com,Omit,2024-09-06,114.0,HS-90378,Closed Lost,omit,innova,113.0,,,False,False,0,False,False,False,True,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024016,Nexus Group,ACC-1102,SMB,Discovery,32864.28,2024-09-15,mariana@raptorsoft.com,Commit,2024-05-11,96.0,HS-90181,Discovery/Qualification,commit,nexus,127.0,,,False,True,212,True,False,False,False,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024017,Acme Corp,ACC-1100,Mid-Market,Closed Lost,133687.68,2024-12-23,mariana@raptorsoft.com,Omit,2024-06-05,105.0,,Closed Lost,omit,acme,201.0,,,False,False,0,False,False,False,True,2024Q4,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024018,AMPLIA SOLUCOES,ACC-1113,SMB,Closed_Lost,14769.37,2025-01-10,ana.lima@raptorsoft.com,commit,2024-04-11,750.0,HS-90321,Closed Lost,commit,amplia,274.0,,,True,False,0,False,False,False,True,2025Q1,2024Q2,SMB,Mid-Market,HIGH,employees_median,
OPP-2024019,BLUEPATH,ACC-1119,SMB,Prop,5059.19,2025-01-24,joao@raptorsoft.com,Best Case,2024-01-11,118.0,HS-90127,Proposal,best_case,bluepath,379.0,,,False,True,81,True,False,False,False,2025Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,
OPP-2024020,DataPrime,ACC-1106,SMB,Discovery,15347.93,2024-10-05,joao@raptorsoft.com,Commit,2024-08-22,27.0,HS-90329,Discovery/Qualification,commit,dataprime,44.0,,,False,True,192,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024021,Sky Ops,,SMB,Closed Lost,32860.87,2025-01-16,ana.lima@raptorsoft.com,Pipeline,2024-10-27,29.0,HS-90250,Closed Lost,pipeline,skyops,81.0,,,False,False,0,False,False,False,True,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024022,Zentra Tech,ACC-1112,Mid-Market,Proposal,116201.51,2024-10-27,joao@raptorsoft.com,Pipeline,2024-10-09,29.0,,Proposal,pipeline,zentra,18.0,,,False,True,170,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024023,INNOVA,ACC-1116,Mid-Market,Closed Won,68075.75,2025-01-30,pedro@raptorsoft.com,Omit,2024-10-18,21.0,,Closed Won,omit,innova,104.0,,,False,False,0,False,False,True,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,104.0
OPP-2024024,ZENTRA,ACC-1112,Mid-Market,Closed Won,115625.38,2025-01-16,ana.lima@raptorsoft.com,Best Case,2024-11-08,9.0,,Closed Won,best_case,zentra,69.0,,,False,False,0,False,False,True,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,69.0
OPP-2024025,Innova Tech,ACC-1116,SMB,Closed Lost,25149.16,2024-08-23,pedro@raptorsoft.com,Omit,2023-07-21,115.0,,Closed Lost,omit,innova,399.0,,,False,False,0,False,False,False,True,2024Q3,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024026,Data Prime,ACC-1106,Mid-Market,Closed Won,-45315.34,2024-11-26,ana.lima@raptorsoft.com,omit,2024-08-18,24.0,,Closed Won,omit,dataprime,100.0,,,False,False,0,False,True,True,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,100.0
OPP-2024027,TapFlow,ACC-1115,SMB,Discovery,21460.74,2024-10-31,ana.lima@raptorsoft.com,Pipeline,2024-09-04,3.0,,Discovery/Qualification,pipeline,tapflow,57.0,,,False,True,166,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024028,polaris,ACC-1118,Mid-Market,Closed Lost,145648.17,2024-06-10,carlos@raptorsoft.com,Pipeline,2024-03-19,117.0,,Closed Lost,pipeline,polaris,83.0,,,False,False,0,False,False,False,True,2024Q2,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024029,AMPLIA SOLUCOES,ACC-1113,Mid-Market,Closed Won,102049.39,2024-11-16,joao@raptorsoft.com,Omit,2023-10-13,750.0,HS-90370,Closed Won,omit,amplia,400.0,,,True,False,0,False,False,True,False,2024Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,400.0
OPP-2024030,INNOVA,ACC-1116,Mid-Market,Qualification,62409.89,2025-01-19,ana.lima@raptorsoft.com,Commit,2024-09-18,12.0,HS-90475,Discovery/Qualification,commit,innova,123.0,,,False,True,86,True,False,False,False,2025Q1,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,
OPP-2024031,AMPLIA SOLUCOES,ACC-1113,SMB,Closed Lost,22064.25,2024-12-23,mariana@raptorsoft.com,omit,2024-11-18,31.0,,Closed Lost,omit,amplia,35.0,,,False,False,0,False,False,False,True,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,
OPP-2024032,Orbit,ACC-1104,Mid-Market,Closed Won,93710.63,2024-10-25,carlos@raptorsoft.com,Omit,2024-05-09,93.0,HS-90780,Closed Won,omit,orbit,169.0,,,False,False,0,False,False,True,False,2024Q4,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,169.0
OPP-2024033,Vértice Tech,ACC-1103,Mid-Market,Closed Won,101614.89,2024-09-07,pedro@raptorsoft.com,Best Case,2024-04-09,6.0,HS-90129,Closed Won,best_case,vertice,151.0,,,False,False,0,False,False,True,False,2024Q3,2024Q2,Mid-Market,Mid-Market,HIGH,employees_median,151.0
OPP-2024034,tapflow,ACC-1115,SMB,Negotiation,21755.0,2023-03-08,pedro@raptorsoft.com,Omit,2023-07-13,7.0,HS-90087,Negotiation,omit,tapflow,-127.0,,,False,True,769,True,False,False,False,2023Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,
OPP-2024035,nexus,ACC-1102,Mid-Market,Closed Lost,83126.52,2024-07-22,joao@raptorsoft.com,Pipeline,2024-02-17,27.0,,Closed Lost,pipeline,nexus,156.0,,,False,False,0,False,False,False,True,2024Q3,2024Q1,Mid-Market,Mid-Market,HIGH,employees_median,
