opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id,stage_canonical,forecast_category_canonical,canonical_name,implied_days,data_quality,days_recalculated,is_stale_opportunity,is_open,slippage_days,is_slippage,is_negative_amount,is_closed_won,is_closed_lost,close_quarter,created_quarter,segment_original,canonical_segment,segment_confidence,segment_source,sales_cycle_days,slippage_discount,engagement_modifier_for_forecast,win_rate_base,adjusted_win_rate,forecast_contribution,slippage_bucket
OPP-2024000,Zentra Tech,ACC-1112,SMB,Qualification,30776.49,2023-04-06,,Best Case,2024-04-07,26.0,HS-90459,Discovery/Qualification,best_case,zentra,-367.0,,,False,True,740,True,False,False,False,2023Q2,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2237.45,>180d
OPP-2024003,zentra,ACC-1112,SMB,Qualification,14448.17,2024-08-20,joao@raptorsoft.com,Pipeline,2024-03-07,52.0,HS-90580,Discovery/Qualification,pipeline,zentra,166.0,,,False,True,238,True,False,False,False,2024Q3,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1050.38,>180d
OPP-2024008,SKYOPS,ACC-1108,Mid-Market,Qualification,100597.05,2023-12-07,joao@raptorsoft.com,Pipeline,2023-11-01,10.0,HS-90219,Discovery/Qualification,pipeline,skyops,36.0,,,False,True,495,True,False,False,False,2023Q4,2023Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,7313.41,>180d
OPP-2024009,Core Logic,ACC-1114,Enterprise,Qualification,138772.33,2024-12-20,joao@raptorsoft.com,Pipeline,2024-10-27,94.0,HS-90194,Discovery/Qualification,pipeline,corelogic,54.0,,,False,True,116,True,False,False,False,2024Q4,2024Q4,Enterprise,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,23549.66,91-180d
OPP-2024010,GRUPO NEXUS,ACC-1102,SMB,Qualification,7638.47,2025-01-07,ana.lima@raptorsoft.com,Pipeline,2024-10-16,63.0,,Discovery/Qualification,pipeline,nexus,83.0,,,False,True,98,True,False,False,False,2025Q1,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,1296.25,91-180d
OPP-2024011,Blue Path,,SMB,Discovery,38506.12,2024-10-27,pedro@raptorsoft.com,Best Case,2024-10-08,8.0,HS-90488,Discovery/Qualification,best_case,bluepath,19.0,,,False,True,170,True,False,False,False,2024Q4,2024Q4,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,6534.49,91-180d
OPP-2024013,Fluxo,ACC-1105,SMB,Proposal,31315.26,2023-08-07,joao@raptorsoft.com,commit,2024-05-03,48.0,,Proposal,commit,fluxo,-270.0,,,False,True,617,True,False,False,False,2023Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2276.62,>180d
OPP-2024016,Nexus Group,ACC-1102,SMB,Discovery,32864.28,2024-09-15,mariana@raptorsoft.com,Commit,2024-05-11,96.0,HS-90181,Discovery/Qualification,commit,nexus,127.0,,,False,True,212,True,False,False,False,2024Q3,2024Q2,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2389.23,>180d
OPP-2024019,BLUEPATH,ACC-1119,SMB,Prop,5059.19,2025-01-24,joao@raptorsoft.com,Best Case,2024-01-11,118.0,HS-90127,Proposal,best_case,bluepath,379.0,,,False,True,81,True,False,False,False,2025Q1,2024Q1,SMB,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,1348.78,61-90d
OPP-2024020,DataPrime,ACC-1106,SMB,Discovery,15347.93,2024-10-05,joao@raptorsoft.com,Commit,2024-08-22,27.0,HS-90329,Discovery/Qualification,commit,dataprime,44.0,,,False,True,192,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1115.79,>180d
OPP-2024022,Zentra Tech,ACC-1112,Mid-Market,Proposal,116201.51,2024-10-27,joao@raptorsoft.com,Pipeline,2024-10-09,29.0,,Proposal,pipeline,zentra,18.0,,,False,True,170,True,False,False,False,2024Q4,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,19719.4,91-180d
OPP-2024027,TapFlow,ACC-1115,SMB,Discovery,21460.74,2024-10-31,ana.lima@raptorsoft.com,Pipeline,2024-09-04,3.0,,Discovery/Qualification,pipeline,tapflow,57.0,,,False,True,166,True,False,False,False,2024Q4,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,3641.89,91-180d
OPP-2024030,INNOVA,ACC-1116,Mid-Market,Qualification,62409.89,2025-01-19,ana.lima@raptorsoft.com,Commit,2024-09-18,12.0,HS-90475,Discovery/Qualification,commit,innova,123.0,,,False,True,86,True,False,False,False,2025Q1,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.45,,0.4848,0.2666,16638.48,61-90d
OPP-2024036,Mindbox,ACC-1111,SMB,Proposal,21446.94,2023-08-28,pedro@raptorsoft.com,Commit,2024-08-22,120.0,,Proposal,commit,mindbox,-360.0,,,False,True,596,True,False,False,False,2023Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1559.19,>180d
OPP-2024040,CONNECTWAVE,ACC-1107,Mid-Market,DISCOVERY,141320.73,2024-10-26,carlos@raptorsoft.com,Best Case,2024-09-25,71.0,HS-90116,Discovery/Qualification,best_case,connectwave,31.0,,,False,True,171,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,23982.13,91-180d
OPP-2024043,POLARIS,ACC-1118,SMB,Proposal,9418.62,2024-04-12,mariana@raptorsoft.com,Pipeline,2023-12-03,20.0,,Proposal,pipeline,polaris,131.0,,,False,True,368,True,False,False,False,2024Q2,2023Q4,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,684.73,>180d
OPP-2024044,beta solutions,ACC-1101,SMB,Discovery,36060.35,2024-09-22,joao@raptorsoft.com,Commit,2024-07-24,13.0,,Discovery/Qualification,commit,betasolutions,60.0,,,False,True,205,True,False,False,False,2024Q3,2024Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,2621.59,>180d
OPP-2024045,ACME CORP,ACC-1100,SMB,Discovery,20074.04,2024-02-27,mariana@raptorsoft.com,Pipeline,2023-08-27,31.0,HS-90472,Discovery/Qualification,pipeline,acme,184.0,,,False,True,413,True,False,False,False,2024Q1,2023Q3,SMB,Mid-Market,HIGH,employees_median,,0.85,,0.4848,0.0727,1459.38,>180d
OPP-2024046,polare,ACC-1109,Mid-Market,Discovery,83007.57,2025-01-08,carlos@raptorsoft.com,Commit,2024-10-19,50.0,,Discovery/Qualification,commit,polare,81.0,,,False,True,97,True,False,False,False,2025Q1,2024Q4,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,14086.38,91-180d
OPP-2024052,Beta Solutions,ACC-1101,Mid-Market,Prospecting,44659.17,2024-12-18,ana.lima@raptorsoft.com,commit,2024-07-02,101.0,,Prospecting,commit,betasolutions,169.0,,,False,True,118,True,False,False,False,2024Q4,2024Q3,Mid-Market,Mid-Market,HIGH,employees_median,,0.65,,0.4848,0.1697,7578.66,91-180d
