customer_id,account_name,csm_owner,health_score,health_trend,mrr_usd,renewal_date,churn_date,status,last_qbr_date,open_tickets,nps_score,sf_account_id
CUST-0400,Acme,rafael@raptorsoft.com,,Stable,9060.51,2025-03-31,,Active,2024-12-17,10,,ACC-1100
CUST-0401,BETA SOLUTIONS,carla@raptorsoft.com,80,,0.0,2025-01-13,2024-12-19,Churned,2023-11-26,3,7,
CUST-0402,Nexus Group,lucas@raptorsoft.com,70,Stable,0.0,2025-12-01,,Active,2023-11-14,5,1,
CUST-0403,Vertice,lucas@raptorsoft.com,58,Improving,10321.94,2026-05-31,,Active,2024-05-31,4,10,
CUST-0404,orbit digital,patricia@raptorsoft.com,48,Stable,12765.65,2025-12-21,,Active,2024-01-12,4,10,ACC-1104
CUST-0405,Fluxo Sistemas Ltda,,15,Declining,12378.29,2024-02-03,,Active,,1,9,
CUST-0406,Data Prime,rafael@raptorsoft.com,10,Declining,0.0,2025-07-12,2024-02-29,Churned,,10,8,ACC-1106
CUST-0407,ConnectWave,carla@raptorsoft.com,92,,9057.02,2025-03-02,,Active,,4,10,
CUST-0408,SkyOps,carla@raptorsoft.com,85,Declining,0.0,2025-03-17,,Active,2023-11-08,9,9,ACC-1108
CUST-0409,POLARE,lucas@raptorsoft.com,,Stable,2888.95,2026-01-05,2024-03-17,Active,2024-08-11,6,,
CUST-0410,rushflow,carla@raptorsoft.com,,,9976.75,2026-05-26,,Active,2024-07-28,7,,ACC-1110
CUST-0411,MINDBOX,rafael@raptorsoft.com,79,Improving,10026.26,2025-06-23,,Active,2023-06-24,8,,ACC-1111
CUST-0412,zentra,lucas@raptorsoft.com,72,Stable,12255.97,2025-09-05,,Active,2024-06-14,5,,ACC-1112
CUST-0413,AMPLIA SOLUCOES,rafael@raptorsoft.com,64,,10947.84,2025-11-28,,Active,,0,2,ACC-1113
CUST-0414,corelogic,lucas@raptorsoft.com,60,Declining,0.0,2025-07-24,2023-06-20,Churned,2024-08-23,5,,ACC-1114
CUST-0415,tapflow,lucas@raptorsoft.com,59,,12197.14,2025-01-20,,Active,,2,7,ACC-1115
CUST-0416,Innova Tech,rafael@raptorsoft.com,50,Stable,6105.08,2025-09-28,2023-08-26,Active,2023-10-02,0,,ACC-1116
CUST-0417,Grid Soft,lucas@raptorsoft.com,66,Declining,0.0,2026-04-22,2024-03-20,Churned,2023-11-14,0,,
CUST-0418,Polaris Tech,rafael@raptorsoft.com,40,Declining,0.0,2025-04-14,2024-08-13,Churned,2024-10-03,7,2,ACC-1118
CUST-0419,bluepath,lucas@raptorsoft.com,45,Improving,1582.26,2025-05-24,,Active,,7,9,
CUST-0420,Acme Corp.,rafael@raptorsoft.com,75,,9800.48,2025-04-09,,Active,2024-08-26,10,,ACC-1100
CUST-0421,Beta Solutions Ltda,lucas@raptorsoft.com,,Improving,0.0,2026-05-31,2023-10-03,Churned,,7,4,
CUST-0422,nexus,rafael@raptorsoft.com,75,,0.0,2025-08-12,,Active,,9,,ACC-1102
CUST-0423,VERTICE TECH,,59,Stable,1111.55,2025-11-01,,Active,2024-07-16,12,,ACC-1103
CUST-0424,Orbit,carla@raptorsoft.com,75,Stable,10440.53,2025-07-31,,Active,2023-09-21,8,10,
CUST-0425,Fluxo,,82,Declining,8387.51,2026-02-27,,Active,2024-03-03,8,,
CUST-0426,DataPrime,patricia@raptorsoft.com,18,,10456.79,2025-12-04,,Active,,9,,
CUST-0427,CONNECTWAVE,lucas@raptorsoft.com,27,Improving,10429.36,2025-10-21,,Active,,8,10,
CUST-0428,SkyOps,carla@raptorsoft.com,86,Improving,12559.25,2025-05-03,,Active,2024-11-04,12,5,ACC-1108
CUST-0429,POLARE,patricia@raptorsoft.com,16,Declining,0.0,2026-05-16,2023-09-27,Churned,,8,9,ACC-1109
CUST-0430,RushFlow,lucas@raptorsoft.com,77,Declining,3313.76,2026-05-20,,Active,2024-01-03,7,,ACC-1110
